작업 이름,상태,담당자,마감일,우선순위,마감기한,작업 유형,진행도
Validator,대기,Sean Han,06/04/2026,보통,프로토,Rule-Based,
OpenKB - Retrieval,대기,Sean Han,06/03/2026,보통,프로토,"Data, OpenKB",
NPC Dialogue Agent 흐름도,시작 전,용희 김,06/01/2026,높음,프로토,Agent,
Orchestrator 입출력 데이터,시작 전,Sean Han,06/04/2026,높음,프로토,"Data, Orchestrator",
OpenKB / 현재 노드 관련 변수,시작 전,Sean Han,06/04/2026,낮음,프로토,"Data, OpenKB",
합의가 필요한 내용,진행 중,"Sean Han, 용희 김, William Kim",06/02/2026,높음,프로토,Data,
Branch / NPC / Command 변수,진행 중,"용희 김, William Kim",06/04/2026,보통,프로토,Data,
Understanding Agent,진행 중,Sean Han,06/04/2026,높음,프로토,Agent,
English Level & Hint Agent 변수,진행 중,William Kim,06/04/2026,보통,프로토,"Agent, Data",
입력/STT 관련 변수,진행 중,Sean Han,06/03/2026,보통,프로토,"Data, STT",
요청/세션 관련 변수,진행 중,Sean Han,06/04/2026,높음,프로토,"Data, Network",
Orchestrator,진행 중,Sean Han,06/04/2026,높음,프로토,Orchestrator,
STT Pipeline,진행 중,Sean Han,06/02/2026,보통,프로토,STT,
Evaluation Rubric,진행 중,William Kim,06/04/2026,높음,프프로토,Data,
OpenKB 문서 축적,진행 중,William Kim,06/04/2026,높음,프프로토,OpenKB,
[Data] AI → Unreal (v0.1.0) 설명,완료,Sean Han,06/04/2026,높음,프프로토,"Data, Network",
[Data] Unreal → AI (v0.1.0) 설명,완료,Sean Han,06/04/2026,높음,프프로토,"Data, Network",
[Pre-prototype] AI-side Demo1 방법,완료,Sean Han,06/04/2026,낮음,프프로토,Network,
Murphy AI Architecture,완료,"Sean Han, 용희 김, William Kim",06/04/2026,높음,프프로토,Architecture,
0. 에이전트 역할 구분,완료,"Sean Han, 용희 김, William Kim",06/04/2026,낮음,프로토,Agent,
[Data] Unreal → AI Example,Archive,Sean Han,06/04/2026,높음,프프로토,"Data, Network",
Unreal Response JSON Assembler,Archive,Sean Han,06/04/2026,높음,프로토,Data,
PROTO: AI-UE JSON 구조,Archive,Sean Han,06/01/2026,높음,프로토,Data,
