작업 이름,담당자,마감기한,마감일,상위 작업,상태,시작일,요약,우선순위,작업 유형,진행도,하위 작업
PROTO: AI-UE JSON 구조,Sean Han,프로토,06/01/2026,,Archive,05/29/2026,"  • Unreal ↔ AI Backend JSON 통신 명세 (프로토타입)",높음,Data,,
STT Pipeline,Sean Han,프로토,06/02/2026,,진행 중,06/01/2026,"  • 플레이어 음성 입력을 텍스트로 변환",보통,STT,,
Orchestrator,Sean Han,프로토,06/04/2026,,진행 중,06/01/2026,"  • AI 백엔드의 중심 흐름을 제어하는 시스템",높음,Orchestrator,,
OpenKB - Retrieval,Sean Han,프로토,06/03/2026,,대기,06/01/2026,"  • 현재 노드에 필요한 정보를 OpenKB에서 가져오는 기능",보통,"Data, OpenKB",,
Understanding Agent,Sean Han,프로토,06/04/2026,,진행 중,06/01/2026,"  • 플레이어 발화를 보고 아래를 판단
      ◦ 의도
      ◦ 슬롯
      ◦ 콩글리쉬 여부
      ◦ 감정
      ◦ 위험도
      ◦ 현재 노드 성공 여부
      ◦ 의미 요약",높음,Agent,,
Validator,Sean Han,프로토,06/04/2026,,대기,06/01/2026,"  • AI가 만든 결과가 언리얼에서 실행 가능한지 마지막으로 검사하는 영역",보통,Rule-Based,,
Unreal Response JSON Assembler,Sean Han,프로토,06/04/2026,,Archive,06/01/2026,"  • 각 모듈의 결과를 언리얼이 실행할 수 있는 응답으로 조립하는 영역",높음,Data,,
0. 에이전트 역할 구분,"Sean Han, 용희 김, William Kim",프로토,06/04/2026,,완료,06/02/2026,"Understanding Agent는 “의미 해석”만 한다.
Level/Hint Agent는 “학습 평가와 도움”을 한다.
NPC Dialogue Agent는 “NPC 발화”를 담당한다.
Scenario State Machine은 “다음 노드 결정”을 한다.",낮음,Agent,,
요청/세션 관련 변수,Sean Han,프로토,06/04/2026,,진행 중,06/02/2026,"  • Unreal ↔ AI 통신: 공통 변수",높음,"Data, Network",,
입력/STT 관련 변수,Sean Han,프로토,06/03/2026,,진행 중,06/02/2026,"  • STT 관련 변수",보통,"Data, STT",,
OpenKB / 현재 노드 관련 변수,Sean Han,프로토,06/04/2026,,시작 전,06/02/2026,"  • 관련 변수",낮음,"Data, OpenKB",,
English Level & Hint Agent 변수,William Kim,프로토,06/04/2026,,진행 중,06/02/2026,"  • 변수 관련 자료",보통,"Agent, Data",,
Branch / NPC / Command 변수,"용희 김, William Kim",프로토,06/04/2026,,진행 중,06/02/2026,"  • Branch / NPC / Command 변수",보통,Data,,
NPC Dialogue Agent 흐름도,용희 김,프로토,06/01/2026,,시작 전,06/01/2026,,높음,Agent,,
[Data] Unreal → AI Example,Sean Han,프프로토,06/04/2026,,Archive,06/02/2026,"  • Unreal에서 wav 파일과 함께 보내야 하는 데이터",높음,"Data, Network",,
Orchestrator 입출력 데이터,Sean Han,프로토,06/04/2026,,시작 전,06/02/2026,"  • 필요한 데이터와 출력",높음,"Data, Orchestrator",,
합의가 필요한 내용,"Sean Han, 용희 김, William Kim",프로토,06/02/2026,,진행 중,06/02/2026,,높음,Data,,
Murphy AI Architecture,"Sean Han, 용희 김, William Kim",프프로토,06/04/2026,,완료,06/04/2026,"  • 전체 아키텍쳐 mermaid",높음,Architecture,,
[Pre-prototype] AI-side Demo1 방법,Sean Han,프프로토,06/04/2026,,완료,06/04/2026,"  • 데모 시연 구동방법",낮음,Network,,
Evaluation Rubric,William Kim,프프로토,06/04/2026,,진행 중,,,높음,Data,,
OpenKB 문서 축적,William Kim,프프로토,06/04/2026,,진행 중,,,높음,OpenKB,,
[Data] Unreal → AI (v0.1.0) 설명,Sean Han,프프로토,06/04/2026,,완료,06/04/2026,"  • 데이터 명세 Pre-prototype",높음,"Data, Network",,
[Data] AI → Unreal (v0.1.0) 설명,Sean Han,프프로토,06/04/2026,,완료,06/04/2026,"  • 데이터 명세 Pre-prototype",높음,"Data, Network",,
